PAR,time,acc,Rep,lw,gs,Induction
1500,10,rice142,4,1.3,0.09131,
1500,20,rice142,4,1.3,0.10022,
1500,30,rice142,4,1.3,0.10403,
1500,40,rice142,4,1.3,0.10922,
1500,50,rice142,4,1.3,0.12235,
1500,60,rice142,4,1.3,0.14457,
1500,70,rice142,4,1.3,0.20685,
1500,80,rice142,4,1.3,0.2518,
1500,90,rice142,4,1.3,0.28457,
1500,100,rice142,4,1.3,0.30651,
1500,110,rice142,4,1.3,0.32253,
1500,120,rice142,4,1.3,0.33756,
1500,130,rice142,4,1.3,0.34715,
1500,140,rice142,4,1.3,0.36128,
1500,150,rice142,4,1.3,0.37242,
1500,160,rice142,4,1.3,0.37749,
1500,170,rice142,4,1.3,0.38148,
1500,180,rice142,4,1.3,0.38567,
1500,190,rice142,4,1.3,0.38086,
1500,200,rice142,4,1.3,0.39248,
1500,210,rice142,4,1.3,0.39893,
1500,220,rice142,4,1.3,0.40247,
1500,230,rice142,4,1.3,0.40303,
1500,240,rice142,4,1.3,0.40359,
1500,250,rice142,4,1.3,0.39373,
1500,260,rice142,4,1.3,0.40171,
1500,270,rice142,4,1.3,0.40473,
1500,280,rice142,4,1.3,0.40745,
1500,290,rice142,4,1.3,0.40634,
1500,300,rice142,4,1.3,0.40711,
1500,310,rice142,4,1.3,0.39272,
1500,320,rice142,4,1.3,0.40007,
1500,330,rice142,4,1.3,0.40421,
1500,340,rice142,4,1.3,0.40652,
1500,350,rice142,4,1.3,0.40555,
1500,360,rice142,4,1.3,0.40722,
1500,370,rice142,4,1.3,0.39925,
1500,380,rice142,4,1.3,0.40723,
1500,390,rice142,4,1.3,0.41175,
1500,400,rice142,4,1.3,0.41255,
1500,410,rice142,4,1.3,0.4133,
1500,420,rice142,4,1.3,0.4128,
1500,430,rice142,4,1.3,0.3997,
1500,440,rice142,4,1.3,0.40756,
1500,450,rice142,4,1.3,0.41056,
1500,460,rice142,4,1.3,0.41158,
1500,470,rice142,4,1.3,0.41071,
1500,480,rice142,4,1.3,0.40866,
1500,490,rice142,4,1.3,0.3964,
1500,500,rice142,4,1.3,0.4034,
1500,510,rice142,4,1.3,0.40684,
1500,520,rice142,4,1.3,0.4065,
1500,530,rice142,4,1.3,0.40734,
1500,540,rice142,4,1.3,0.40785,
1500,550,rice142,4,1.3,0.39315,
1500,560,rice142,4,1.3,0.40033,
1500,570,rice142,4,1.3,0.4034,
1500,580,rice142,4,1.3,0.40591,
1500,590,rice142,4,1.3,0.40333,
1500,600,rice142,4,1.3,0.40241,
1500,610,rice142,4,1.3,0.38828,
1500,620,rice142,4,1.3,0.39621,
1500,630,rice142,4,1.3,0.39812,
1500,640,rice142,4,1.3,0.39896,
1500,650,rice142,4,1.3,0.39742,
1500,660,rice142,4,1.3,0.39617,
1500,670,rice142,4,1.3,0.381,
